===============================================================================================================
                                    LISTAGEM DE ESTACIONAMENTOS                                              
===============================================================================================================

Nº    | Matrícula | Lugar | Entrada          | Saída           | Valor   
45     | 37-KT-50   | 3B39  | 22/05/2025 23:52 | 23/05/2025 00:15 | 9.12 €
46     | 20-TY-20   | 2R8   | 11/12/2025 09:47 | 11/12/2025 10:51 | 0.64 €
47     | 56-EK-25   | 2C29  | 09/04/2025 09:50 | 09/04/2025 10:56 | 0.66 €
48     | 18-HW-77   | 1X36  | 24/10/2025 14:52 | 24/10/2025 19:53 | 3.01 €
49     | 14-FN-44   | 2N17  | 04/01/2025 18:31 | 04/01/2025 22:32 | 2.25 €
50     | 25-GJ-94   | 2T16  | 07/10/2025 15:31 | 07/10/2025 18:39 | 1.88 €
51     | 20-NR-61   | 3V2   | 23/03/2025 13:00 | 23/03/2025 16:00 | 1.80 €
52     | 69-VK-78   | 2P2   | 17/06/2025 19:54 | 17/06/2025 22:01 | 1.26 €
53     | 28-CE-73   | 2N4   | 01/11/2025 21:09 | 01/11/2025 23:15 | 0.88 €
54     | 75-CH-76   | 1M40  | 09/12/2025 15:16 | 09/12/2025 16:39 | 0.83 €
55     | 82-UD-43   | 1E34  | 26/09/2025 12:21 | 26/09/2025 16:51 | 2.70 €
56     | 11-BR-13   | 1Q24  | 24/01/2025 08:30 | 24/01/2025 10:38 | 1.28 €
57     | 51-JJ-93   | 2Q7   | 11/01/2025 12:42 | 11/01/2025 13:54 | 0.72 €
58     | 89-RY-62   | 1R14  | 29/09/2025 17:57 | 29/09/2025 21:24 | 2.07 €
59     | 55-EU-33   | 2S28  | 25/06/2025 13:08 | 25/06/2025 16:21 | 1.93 €
60     | 23-IY-12   | 2P12  | 10/12/2025 15:13 | 10/12/2025 16:33 | 0.80 €
61     | 49-KV-12   | 3T39  | 04/07/2025 14:21 | 04/07/2025 17:33 | 1.92 €
62     | 40-EE-14   | 1J35  | 07/09/2025 22:12 | 08/09/2025 01:37 | 10.03 €
63     | 90-UR-63   | 2K18  | 02/04/2025 09:17 | 02/04/2025 10:28 | 0.71 €
64     | 30-SY-55   | 2E23  | 28/12/2025 21:38 | 29/12/2025 01:05 | 10.15 €
65     | 35-NF-34   | 2L14  | 28/06/2025 17:19 | 28/06/2025 18:30 | 0.71 €
66     | 70-LU-88   | 1M20  | 19/02/2025 21:01 | 20/02/2025 00:11 | 10.25 €
67     | 76-OL-28   | 2Y35  | 15/10/2025 18:30 | 15/10/2025 19:56 | 0.86 €
68     | 77-VM-25   | 2S32  | 03/05/2025 23:47 | 04/05/2025 00:55 | 9.34 €
69     | 59-FT-44   | 2Y19  | 13/10/2025 14:49 | 13/10/2025 15:06 | 0.17 €
70     | 97-RU-83   | 2U37  | 17/04/2025 22:18 | 18/04/2025 02:47 | 10.35 €
71     | 12-TT-19   | 1J18  | 19/09/2025 12:14 | 19/09/2025 13:38 | 0.84 €
72     | 91-ES-87   | 3N33  | 20/05/2025 21:56 | 21/05/2025 00:18 | 9.73 €
73     | 74-OI-54   | 1Z28  | 19/05/2025 18:10 | 19/05/2025 19:24 | 0.74 €
74     | 89-TR-95   | 1D35  | 10/10/2025 11:04 | 10/10/2025 14:20 | 1.96 €
75     | 62-CY-61   | 1O17  | 24/01/2025 23:03 | 25/01/2025 02:32 | 10.05 €
76     | 81-IB-44   | 3R11  | 07/02/2025 19:18 | 07/02/2025 22:45 | 1.84 €
77     | 81-GT-94   | 3G9   | 07/11/2025 11:12 | 07/11/2025 13:12 | 1.20 €
78     | 43-GJ-31   | 2V16  | 16/12/2025 19:32 | 16/12/2025 21:46 | 1.34 €
79     | 56-OA-50   | 3C3   | 07/09/2025 15:51 | 07/09/2025 17:54 | 1.23 €
80     | 98-NY-85   | 3B3   | 14/05/2025 20:29 | 14/05/2025 22:52 | 1.17 €
81     | 60-DB-30   | 3L16  | 14/06/2025 15:08 | 14/06/2025 19:28 | 2.60 €
82     | 27-PK-63   | 2T11  | 01/07/2025 19:30 | 01/07/2025 21:36 | 1.26 €
83     | 89-LY-55   | 1N12  | 20/03/2025 21:42 | 21/03/2025 02:47 | 10.62 €
84     | 44-JK-49   | 3D38  | 02/09/2025 15:44 | 02/09/2025 16:04 | 0.20 €
85     | 78-GC-77   | 2S7   | 11/08/2025 16:29 | 11/08/2025 18:57 | 1.48 €
86     | 61-MZ-13   | 2I14  | 04/06/2025 15:44 | 04/06/2025 16:59 | 0.75 €
87     | 22-UM-41   | 3P3   | 09/08/2025 23:30 | 10/08/2025 03:44 | 10.27 €
88     | 40-YZ-17   | 2J38  | 26/05/2025 13:37 | 26/05/2025 14:40 | 0.63 €
89     | 68-EU-98   | 2O20  | 26/04/2025 13:53 | 26/04/2025 18:59 | 3.06 €
90     | 82-KG-44   | 3J36  | 23/05/2025 14:59 | 23/05/2025 15:04 | 0.05 €
91     | 81-AI-61   | 1F40  | 07/07/2025 09:15 | 07/07/2025 12:39 | 2.04 €
92     | 44-AB-30   | 1R26  | 01/06/2025 21:44 | 02/06/2025 00:53 | 10.03 €
93     | 15-OI-77   | 1M40  | 24/12/2025 20:20 | 24/12/2025 23:45 | 1.52 €
94     | 93-ED-89   | 2K6   | 17/04/2025 23:11 | 18/04/2025 02:12 | 9.91 €
95     | 86-YE-90   | 3G24  | 18/02/2025 21:01 | 19/02/2025 00:20 | 10.29 €
96     | 68-AE-24   | 2K27  | 25/03/2025 09:27 | 25/03/2025 14:44 | 3.17 €
97     | 84-VH-15   | 3A9   | 12/07/2025 14:00 | 12/07/2025 16:13 | 1.33 €
98     | 67-BN-83   | 3V4   | 12/05/2025 15:56 | 12/05/2025 20:09 | 2.53 €
99     | 83-AW-28   | 2N8   | 18/03/2025 16:08 | 18/03/2025 18:14 | 1.26 €
100    | 48-MB-59   | 2M28  | 03/06/2025 21:57 | 04/06/2025 01:19 | 10.03 €
101    | 82-YT-25   | 1X25  | 09/06/2025 18:55 | 09/06/2025 21:20 | 1.45 €
102    | 65-YJ-19   | 3Q6   | 12/03/2025 10:41 | 12/03/2025 15:03 | 2.62 €
103    | 58-XX-34   | 1L1   | 11/08/2025 19:29 | 11/08/2025 21:29 | 1.20 €
104    | 88-AR-16   | 1I15  | 05/08/2025 08:10 | 05/08/2025 08:16 | 0.06 €
105    | 95-OY-92   | 1S39  | 04/04/2025 19:16 | 05/04/2025 00:23 | 11.36 €
106    | 91-RT-31   | 2W16  | 24/05/2025 12:58 | 24/05/2025 16:12 | 1.94 €
107    | 55-AD-39   | 3J24  | 26/09/2025 21:29 | 27/09/2025 02:48 | 10.75 €
108    | 77-TE-34   | 1Q12  | 24/06/2025 23:30 | 25/06/2025 03:55 | 10.33 €
109    | 72-RH-27   | 1A40  | 08/01/2025 19:19 | 08/01/2025 21:35 | 1.36 €
110    | 28-DA-47   | 3F20  | 13/11/2025 10:29 | 13/11/2025 12:31 | 1.22 €
111    | 63-CJ-70   | 1C14  | 17/02/2025 19:36 | 18/02/2025 00:06 | 11.07 €
112    | 31-SL-89   | 1B3   | 21/11/2025 23:30 | 21/11/2025 23:50 | 0.10 €
113    | 58-KV-73   | 1B32  | 18/08/2025 16:33 | 18/08/2025 19:35 | 1.82 €
114    | 42-WV-13   | 2R14  | 04/03/2025 16:49 | 04/03/2025 18:00 | 0.71 €
115    | 15-QD-90   | 3O31  | 19/09/2025 16:05 | 19/09/2025 18:33 | 1.48 €
116    | 54-UB-10   | 1O13  | 14/10/2025 12:14 | 14/10/2025 14:23 | 1.29 €
117    | 40-YR-78   | 2V15  | 09/08/2025 09:00 | 09/08/2025 11:14 | 1.34 €
118    | 10-KE-35   | 3R28  | 28/05/2025 16:18 | 28/05/2025 21:33 | 3.15 €
119    | 92-IJ-58   | 3L27  | 23/10/2025 18:22 | 23/10/2025 20:33 | 1.31 €
120    | 93-SG-24   | 2Y34  | 19/05/2025 16:35 | 19/05/2025 20:47 | 2.52 €
121    | 10-JF-27   | 1N1   | 17/11/2025 10:26 | 17/11/2025 14:50 | 2.64 €
122    | 24-IB-83   | 3I6   | 04/06/2025 08:26 | 04/06/2025 12:49 | 2.63 €
123    | 37-ZY-12   | 3X4   | 22/11/2025 16:20 | 22/11/2025 18:37 | 1.37 €
124    | 88-US-58   | 3P21  | 18/12/2025 18:30 | 18/12/2025 20:48 | 1.38 €
125    | 66-DR-82   | 3C1   | 05/06/2025 22:05 | 06/06/2025 02:35 | 10.35 €
126    | 41-KA-21   | 3S29  | 21/04/2025 10:09 | 21/04/2025 11:25 | 0.76 €
127    | 26-XD-52   | 3P27  | 08/05/2025 18:50 | 08/05/2025 19:50 | 0.60 €
128    | 73-UV-55   | 3W24  | 18/02/2025 13:03 | 18/02/2025 13:29 | 0.26 €
129    | 93-QV-12   | 2U33  | 25/04/2025 19:04 | 25/04/2025 20:19 | 0.75 €
130    | 88-TW-97   | 3M22  | 20/04/2025 12:23 | 20/04/2025 12:50 | 0.27 €
131    | 98-WX-28   | 1Z21  | 10/11/2025 13:13 | 10/11/2025 14:29 | 0.76 €
132    | 36-NP-16   | 2T10  | 19/07/2025 19:14 | 19/07/2025 22:21 | 1.76 €
133    | 65-EF-70   | 3D36  | 05/11/2025 10:29 | 05/11/2025 11:37 | 0.68 €
134    | 92-SW-23   | 2P35  | 08/08/2025 11:19 | 08/08/2025 16:27 | 3.08 €
135    | 81-HT-44   | 2Q30  | 14/11/2025 17:57 | 14/11/2025 18:09 | 0.12 €
136    | 80-QG-99   | 2U10  | 13/12/2025 12:35 | 13/12/2025 15:58 | 2.03 €
137    | 96-OZ-91   | 3B30  | 04/04/2025 23:43 | 05/04/2025 01:51 | 9.64 €
138    | 15-RH-55   | 1M29  | 28/12/2025 14:55 | 28/12/2025 18:11 | 1.96 €
139    | 42-HG-52   | 2J13  | 27/03/2025 09:45 | 27/03/2025 14:10 | 2.65 €
140    | 78-SZ-51   | 1M2   | 15/05/2025 21:45 | 15/05/2025 23:02 | 0.46 €
141    | 78-FL-50   | 1G13  | 25/09/2025 13:34 | 25/09/2025 16:52 | 1.98 €
142    | 67-BB-48   | 2I35  | 14/06/2025 17:57 | 14/06/2025 22:27 | 2.57 €
143    | 61-NQ-97   | 3B15  | 03/06/2025 17:07 | 03/06/2025 19:14 | 1.27 €
144    | 44-TM-22   | 2S3   | 22/07/2025 18:34 | 22/07/2025 22:04 | 2.08 €
145    | 28-SK-92   | 3U15  | 12/07/2025 20:35 | 12/07/2025 21:40 | 0.65 €
146    | 11-ND-98   | 2X37  | 10/06/2025 09:07 | 10/06/2025 12:19 | 1.92 €
147    | 62-RN-12   | 2M15  | 24/06/2025 14:43 | 24/06/2025 16:56 | 1.33 €
148    | 39-PH-73   | 1Y31  | 16/07/2025 09:15 | 16/07/2025 12:22 | 1.87 €
149    | 54-VZ-55   | 2K29  | 10/01/2025 10:28 | 10/01/2025 13:31 | 1.83 €
150    | 54-EL-12   | 1X6   | 01/09/2025 17:27 | 01/09/2025 17:34 | 0.07 €
151    | 96-RJ-97   | 1V19  | 04/01/2025 20:05 | 04/01/2025 23:10 | 1.50 €
152    | 94-HS-18   | 1E17  | 12/02/2025 21:12 | 12/02/2025 22:16 | 0.56 €
153    | 55-SC-22   | 3I21  | 22/09/2025 08:47 | 22/09/2025 11:07 | 1.40 €
154    | 95-PN-21   | 3P9   | 12/05/2025 14:24 | 12/05/2025 14:34 | 0.10 €
155    | 34-ID-10   | 1I12  | 02/07/2025 22:56 | 03/07/2025 03:01 | 10.23 €
156    | 61-BN-80   | 1C13  | 09/05/2025 21:30 | 10/05/2025 00:40 | 10.10 €
157    | 85-ZA-28   | 2Q22  | 21/08/2025 19:04 | 21/08/2025 20:12 | 0.68 €
158    | 74-QZ-62   | 2N37  | 27/01/2025 18:53 | 27/01/2025 21:16 | 1.43 €
159    | 52-ZR-88   | 1H39  | 25/06/2025 20:02 | 25/06/2025 22:09 | 1.22 €
160    | 36-RH-69   | 2R16  | 28/11/2025 12:52 | 28/11/2025 14:06 | 0.74 €
161    | 32-WR-74   | 1J17  | 26/07/2025 21:05 | 26/07/2025 22:07 | 0.58 €
162    | 88-CY-90   | 2V28  | 20/03/2025 09:16 | 20/03/2025 12:37 | 2.01 €
163    | 17-AU-88   | 1I33  | 27/12/2025 15:59 | 27/12/2025 20:22 | 2.63 €
164    | 50-DY-22   | 1G30  | 15/01/2025 22:35 | 16/01/2025 02:58 | 10.32 €
165    | 12-BG-49   | 1Q12  | 06/01/2025 14:52 | 06/01/2025 17:22 | 1.50 €
166    | 38-GU-79   | 2A28  | 05/05/2025 23:17 | 06/05/2025 00:33 | 9.38 €
167    | 98-VY-92   | 3I3   | 28/02/2025 18:45 | 28/02/2025 20:57 | 1.32 €
168    | 28-YA-76   | 1Z38  | 05/12/2025 22:37 | 06/12/2025 02:07 | 10.05 €
169    | 54-FO-44   | 3H34  | 23/11/2025 12:17 | 23/11/2025 12:28 | 0.11 €
170    | 17-FF-50   | 1R15  | 17/12/2025 11:33 | 17/12/2025 12:44 | 0.71 €
171    | 25-AQ-50   | 3W23  | 26/12/2025 22:16 | 27/12/2025 01:22 | 9.93 €
172    | 93-VJ-57   | 2O8   | 12/10/2025 09:18 | 12/10/2025 10:46 | 0.88 €
173    | 91-UO-57   | 2C27  | 20/03/2025 15:04 | 20/03/2025 19:14 | 2.50 €
174    | 11-QE-58   | 3C19  | 21/02/2025 08:57 | 21/02/2025 11:07 | 1.30 €
175    | 55-FF-74   | 2W6   | 22/11/2025 22:24 | 23/11/2025 01:33 | 9.95 €
176    | 43-HJ-55   | 3I13  | 25/07/2025 17:44 | 25/07/2025 21:53 | 2.49 €
177    | 41-YW-81   | 3V35  | 19/06/2025 09:27 | 19/06/2025 11:33 | 1.26 €
178    | 24-LC-41   | 3Y38  | 09/07/2025 14:48 | 09/07/2025 16:51 | 1.23 €
179    | 35-WM-71   | 3U25  | 10/12/2025 19:12 | 10/12/2025 23:38 | 2.17 €
180    | 79-LM-34   | 3H35  | 24/05/2025 16:28 | 24/05/2025 19:39 | 1.91 €
181    | 11-PG-24   | 3B36  | 25/05/2025 14:34 | 25/05/2025 19:36 | 3.02 €
182    | 73-LJ-18   | 3B38  | 01/02/2025 08:29 | 01/02/2025 08:54 | 0.25 €
183    | 58-NU-81   | 3R14  | 09/10/2025 22:42 | 10/10/2025 00:58 | 9.68 €
184    | 77-YP-27   | 3I17  | 08/02/2025 14:05 | 08/02/2025 14:27 | 0.22 €
185    | 65-IH-84   | 1U5   | 04/11/2025 20:22 | 04/11/2025 22:25 | 1.10 €
186    | 18-DH-85   | 2Y18  | 25/10/2025 16:20 | 25/10/2025 18:23 | 1.23 €
187    | 50-EB-60   | 3U34  | 05/02/2025 23:01 | 05/02/2025 23:05 | 0.02 €
188    | 74-QD-81   | 1X29  | 08/06/2025 16:18 | 08/06/2025 21:23 | 3.05 €
189    | 27-BI-12   | 2L23  | 12/12/2025 14:08 | 12/12/2025 19:23 | 3.15 €
190    | 70-UF-91   | 3P29  | 24/08/2025 13:49 | 24/08/2025 15:08 | 0.79 €
191    | 35-OA-39   | 1O3   | 16/03/2025 16:52 | 16/03/2025 21:17 | 2.65 €
192    | 20-RJ-46   | 2C6   | 02/02/2025 14:41 | 02/02/2025 14:51 | 0.10 €
193    | 50-XO-90   | 2Z21  | 09/03/2025 08:32 | 09/03/2025 09:47 | 0.75 €
194    | 82-AU-12   | 2O39  | 07/11/2025 15:25 | 07/11/2025 16:51 | 0.86 €
195    | 48-EQ-18   | 1F2   | 24/08/2025 23:49 | 25/08/2025 04:50 | 10.51 €
196    | 16-UR-72   | 2B19  | 04/11/2025 08:54 | 04/11/2025 12:03 | 1.89 €
197    | 71-XY-52   | 3M29  | 03/06/2025 20:32 | 03/06/2025 22:02 | 0.89 €
198    | 24-JA-80   | 1X27  | 13/03/2025 19:15 | 13/03/2025 22:15 | 1.72 €
199    | 30-MT-71   | 2Z8   | 18/06/2025 20:35 | 19/06/2025 00:36 | 10.63 €
200    | 69-QY-67   | 2C12  | 08/03/2025 11:26 | 08/03/2025 12:34 | 0.68 €
201    | 94-JA-17   | 1H40  | 16/02/2025 20:14 | 16/02/2025 21:41 | 0.87 €
202    | 83-BN-84   | 1U32  | 25/09/2025 16:52 | 25/09/2025 20:58 | 2.46 €
203    | 53-ST-48   | 2S8   | 13/02/2025 11:00 | 13/02/2025 15:26 | 2.66 €
204    | 43-XX-70   | 1P39  | 10/05/2025 14:42 | 10/05/2025 16:49 | 1.27 €
205    | 30-AW-32   | 3V4   | 12/03/2025 13:15 | 12/03/2025 16:32 | 1.97 €
206    | 79-NF-98   | 3A27  | 18/07/2025 17:51 | 18/07/2025 22:56 | 2.77 €
207    | 24-AS-98   | 1K19  | 12/05/2025 16:55 | 12/05/2025 19:08 | 1.33 €
208    | 57-SS-91   | 2V29  | 04/03/2025 11:08 | 04/03/2025 11:18 | 0.10 €
209    | 55-BT-70   | 3B8   | 12/02/2025 08:09 | 12/02/2025 13:11 | 3.02 €
210    | 75-LC-90   | 1C4   | 08/09/2025 12:39 | 08/09/2025 16:39 | 2.40 €
211    | 82-XO-49   | 1Y16  | 26/05/2025 11:54 | 26/05/2025 14:16 | 1.42 €
212    | 10-RJ-14   | 1A34  | 15/02/2025 20:14 | 16/02/2025 00:29 | 10.81 €
213    | 41-QB-91   | 3N19  | 22/10/2025 20:50 | 23/10/2025 01:58 | 10.89 €
214    | 79-HY-43   | 1E6   | 21/08/2025 23:35 | 22/08/2025 04:57 | 10.61 €
215    | 70-IW-51   | 1M19  | 10/06/2025 12:06 | 10/06/2025 14:06 | 1.20 €
216    | 89-IR-70   | 3N33  | 21/02/2025 21:42 | 22/02/2025 00:03 | 9.80 €
217    | 86-VT-35   | 1J29  | 12/10/2025 15:23 | 12/10/2025 19:51 | 2.68 €
218    | 73-OY-15   | 3M14  | 10/10/2025 08:49 | 10/10/2025 08:54 | 0.05 €
219    | 95-MW-81   | 3K32  | 02/01/2025 16:41 | 02/01/2025 16:53 | 0.12 €
220    | 88-SN-85   | 2B34  | 13/12/2025 10:22 | 13/12/2025 13:49 | 2.07 €
221    | 14-IZ-84   | 3G3   | 26/02/2025 15:34 | 26/02/2025 15:48 | 0.14 €
222    | 16-ZX-57   | 1B19  | 25/10/2025 10:55 | 25/10/2025 12:07 | 0.72 €
223    | 64-TR-64   | 2J22  | 26/06/2025 21:51 | 26/06/2025 22:13 | 0.15 €
224    | 97-TN-92   | 1D19  | 17/06/2025 20:35 | 17/06/2025 23:49 | 1.39 €
225    | 16-LC-67   | 3T13  | 03/02/2025 22:11 | 03/02/2025 23:14 | 0.31 €
226    | 13-VI-84   | 1S3   | 15/10/2025 15:14 | 15/10/2025 17:37 | 1.43 €
227    | 73-YN-80   | 1M19  | 27/07/2025 11:05 | 27/07/2025 13:30 | 1.45 €
228    | 11-HR-18   | 2R12  | 16/12/2025 19:38 | 17/12/2025 00:07 | 11.06 €
229    | 48-QM-62   | 1Q3   | 09/04/2025 23:08 | 09/04/2025 23:23 | 0.08 €
230    | 83-UG-24   | 2R23  | 15/08/2025 20:08 | 15/08/2025 23:11 | 1.47 €
231    | 89-VR-45   | 1I33  | 24/12/2025 14:36 | 24/12/2025 17:36 | 1.80 €
232    | 57-KZ-77   | 1S12  | 01/08/2025 22:35 | 02/08/2025 03:57 | 10.61 €
233    | 51-UU-96   | 2G18  | 05/08/2025 09:51 | 05/08/2025 11:15 | 0.84 €
234    | 89-PC-90   | 3T7   | 21/08/2025 09:56 | 21/08/2025 14:23 | 2.67 €
235    | 92-MS-69   | 3N7   | 14/11/2025 22:48 | 14/11/2025 23:55 | 0.33 €
236    | 82-VA-22   | 2M10  | 26/03/2025 22:43 | 26/03/2025 23:59 | 0.38 €
237    | 62-KQ-12   | 1Q25  | 14/06/2025 17:49 | 14/06/2025 18:04 | 0.15 €
238    | 16-SX-92   | 1B28  | 26/05/2025 14:14 | 26/05/2025 16:35 | 1.41 €
239    | 28-EF-91   | 1G34  | 17/01/2025 09:52 | 17/01/2025 11:18 | 0.86 €
240    | 84-KB-66   | 2G29  | 02/11/2025 11:57 | 02/11/2025 14:09 | 1.32 €
241    | 63-HS-26   | 2G38  | 26/04/2025 18:13 | 26/04/2025 18:17 | 0.04 €
242    | 17-SW-32   | 1B6   | 27/10/2025 11:26 | 27/10/2025 15:40 | 2.54 €
243    | 20-KG-89   | 1T36  | 01/08/2025 14:47 | 01/08/2025 15:10 | 0.23 €
244    | 38-PO-31   | 1E17  | 09/03/2025 23:30 | 10/03/2025 01:34 | 9.62 €
245    | 65-XA-14   | 1H39  | 22/07/2025 08:19 | 22/07/2025 08:36 | 0.17 €
246    | 29-IG-19   | 1G7   | 24/08/2025 09:08 | 24/08/2025 14:28 | 3.20 €
247    | 10-XG-80   | 1P28  | 05/12/2025 12:47 | 05/12/2025 13:52 | 0.65 €
248    | 20-ZY-62   | 3R7   | 06/10/2025 16:40 | 06/10/2025 21:54 | 3.14 €
249    | 86-AS-91   | 2K40  | 23/09/2025 11:39 | 23/09/2025 13:07 | 0.88 €
250    | 18-MB-25   | 3B5   | 22/06/2025 10:33 | 22/06/2025 10:38 | 0.05 €
251    | 59-JC-80   | 1N30  | 29/09/2025 13:58 | 29/09/2025 14:04 | 0.06 €
252    | 50-OO-20   | 2F29  | 09/05/2025 10:27 | 09/05/2025 13:34 | 1.87 €
253    | 60-DD-39   | 2P11  | 05/01/2025 22:49 | 06/01/2025 00:11 | 9.41 €
254    | 25-WH-41   | 1U14  | 04/03/2025 10:29 | 04/03/2025 14:46 | 2.57 €
255    | 42-AU-59   | 2H9   | 27/02/2025 12:13 | 27/02/2025 17:28 | 3.15 €
256    | 82-NA-58   | 1X11  | 10/05/2025 15:38 | 10/05/2025 19:39 | 2.41 €
257    | 94-CE-40   | 2U24  | 14/09/2025 12:00 | 14/09/2025 13:03 | 0.63 €
258    | 64-BP-45   | 1P5   | 08/08/2025 08:42 | 08/08/2025 11:12 | 1.50 €
259    | 87-ND-86   | 2C25  | 16/01/2025 19:22 | 16/01/2025 20:36 | 0.74 €
260    | 42-UN-68   | 3D25  | 08/08/2025 13:01 | 08/08/2025 13:03 | 0.02 €
261    | 33-RV-82   | 2I21  | 08/02/2025 09:06 | 08/02/2025 13:32 | 2.66 €
262    | 32-YN-79   | 2H31  | 10/11/2025 21:21 | 10/11/2025 23:38 | 0.88 €
263    | 43-ON-15   | 3N16  | 22/01/2025 23:03 | 23/01/2025 02:31 | 10.04 €
264    | 66-RU-62   | 1Y6   | 01/08/2025 20:33 | 01/08/2025 21:42 | 0.69 €
265    | 54-WO-29   | 3A17  | 02/04/2025 17:32 | 02/04/2025 21:47 | 2.55 €
266    | 12-DJ-37   | 3U19  | 28/04/2025 23:10 | 29/04/2025 04:12 | 10.51 €
267    | 19-PR-68   | 3V26  | 07/01/2025 20:03 | 07/01/2025 20:19 | 0.16 €
268    | 28-JZ-20   | 1G6   | 01/05/2025 10:14 | 01/05/2025 10:32 | 0.18 €
269    | 83-DE-18   | 2R22  | 18/03/2025 09:14 | 18/03/2025 11:16 | 1.22 €
